,0,1,2,J SC (mA/cm2),V OC (V),FF (%),PCE (%)
14_1_1, P1 + DIO,,,5.28,0.83,51.0,2.22
14_1_2, P2 ,,,6.40,0.76,49.2,2.40
14_1_3, P2 + DIO,,,8.74,0.83,61.2,4.44
15_3_0, PTF1 ,,,2.95,0.57,0.30,0.51
15_3_1, POF1 ,,,2.85,0.70,0.26,0.52
15_3_2, PTF2 ,,,6.92,0.70,0.36,1.76
15_3_3, POF2 ,,,5.33,0.77,0.34,1.41
15_4_0, PTF1 ,,,4.97,0.72,0.29,1.04
15_4_1, POF1 ,,,5.17,0.79,0.30,1.22
15_4_2, PTF2 ,,,8.70,0.72,0.34,2.13
15_4_3, POF2 ,,,5.25,0.77,0.40,1.60
16_1_0,Avg,,,,cm2 V−1 s−1 ,,
16_1_1,P1:PC71BM (1:3),,,,0.77,,
16_1_2,P2:PC71BM (1:3),,,,0.75,,
17_2_0,1:1 a ,,,1.63,0.75,32,0.39
17_2_1,1:2,,,2.17,0.8,38,0.66
17_2_2,1:3,,,3.35,0.8,42,1.13
17_2_3,1:4,,,4.15,0.8,44,1.46
17_2_4,1:4 b ,,,7.23,0.75,45,2.58
18_2_0,PQS,,,3.85,0.60,0.36,0.84
18_2_1,1:1 a ,,,0.57,0.48,2.37,
18_2_2,1:3,,,0.46,0.35,1.01,
18_2_3, ,,,,,,
18_2_4,PQSQT,,,3.56,0.59,0.35,0.73
18_2_5,1:1 a ,,,0.44,0.51,2.22,
18_2_6,1:3,,,0.46,0.35,0.93,
19_1_0, PDTPTBT : PC60BM (1:1 wt/wt),,,5.47,0.52,36.67,1.04
19_1_1, PDTPTBT : PC60BM (1:2 wt/wt),,,7.16,0.53,36.57,1.38
19_1_2, PDTPTBT : PC60BM (1:3 wt/wt),,, 8.91 , 0.55 , 42.09 , 2.04 
19_1_3, PDTPTBTB : PC60BM (1:1 wt/wt),,,5.06,0.44,26.30,0.58
19_1_4, PDTPTBTB : PC60BM (1:2 wt/wt),,,6.00,0.47,27.46,0.77
19_1_5, PDTPTBTB : PC60BM (1:3 wt/wt),,, 6.48 , 0.48 , 32.73 , 1.01 
19_1_6, PDTPTBTBI : PC60BM (1:1 wt/wt),,,3.74,0.19,26.80,0.19
19_1_7, PDTPTBTBI : PC60BM (1:2 wt/wt),,,4.97,0.44,26.80,0.59
19_1_8, PDTPTBTBI : PC60BM (1:3 wt/wt),,, 5.62 , 0.44 , 28.20 , 0.70 
20_2_0,PQTDPP:PCBM=1:0.8,,,5.47,0.59,0.64,2.06
20_2_1,PQTDPP:PCBM=1:0.8 a ,,,7.16,0.58,0.55,2.28
20_2_2,PQTVTDPP:PCBM=1:0.8,,,7.60,0.50,0.51,1.97
20_2_3,PQTVTDPP:PCBM=1:0.8 a ,,,7.27,0.47,0.44,1.53
21_2_0,P1,,,,,8×102 ,
21_2_1,P2,,,,,1×105 ,
21_3_0,P1,,,6.24,0.63,33.34,1.41
21_3_1,P1,,,8.10,0.63,40.79,2.19
21_3_2,P1,,,7.52,0.63,40.20,1.97
21_3_3,P1,,,6.31,0.62,32.19,1.34
21_3_4,P1,,,11.39,0.65,58.69,4.51
21_3_5,P1,,,11.31,0.65,56.92,4.37
21_3_6,P1,,,11.25,0.65,54.08,4.05
21_3_7,P1,,,10.71,0.65,58.13,4.16
21_3_8,P1,,,10.80,0.65,42.47,2.99
21_3_9,P1,,,9.57,0.65,38.34,2.48
21_3_10,P2,,,6.28,0.62,31.65,1.30
21_3_11,P2,,,7.70,0.62,40.41,1.94
21_3_12,P2,,,4.89,0.62,35.36,1.11
21_3_13,P2,,,4.21,0.62,30.87,0.90
21_3_14,P2,,,9.76,0.68,52.76,3.58
21_3_15,P2,,,9.28,0.68,52.20,3.35
21_3_16,P2,,,8.50,0.68,48.74,2.90
21_3_17,xP2,,,9.12,0.68,51.76,3.34
21_3_18,P2,,,8.65,0.68,50.08,3.03
21_3_19,P2,,,8.23,0.68,49.18,2.83
22_1_0,1:1,,,4.34,0.92,0.42,1.65
22_1_1,1:2,,,5.00,0.91,0.50,2.31
22_1_2,1:3,,,6.21,0.92,0.58,3.32
22_1_3,1:4,,,4.91,0.90,0.59,2.60
23_2_0,PIDTBDTID,,,7.24,0.87,42.0,2.66 (2.51)
23_2_1,PIDTBDT(ID)2 ,,,6.34,0.93,42.3,2.50 (2.33)
